Building Name,Building Address,Building Support Group,IT Department,On-Call Shift,On-Call Phone Number,On-Call Name
Allergy and Immunology Unit,"1400 Willow Alley, Franklin City, PA",EUS,,11:00 PM - 7:00 AM,999-382-1225,Isla Robertson
Allergy and Immunology Unit,"1400 Willow Alley, Franklin City, PA",Networking,,7:00 AM - 3:00 PM,999-376-5893,Sarah Parker
Allergy and Immunology Unit,"1400 Willow Alley, Franklin City, PA",Networking,,3:00 PM - 11:00 PM,999-708-8022,Amelie Dubois
Allergy and Immunology Unit,"1400 Willow Alley, Franklin City, PA",Networking,,11:00 PM - 7:00 AM,999-580-8996,Kato Takahashi
Dental & Oral Surgery Center,"1500 Poplar Trail, Franklin City, PA",Facilities,,,999-555-0101,
Dental & Oral Surgery Center,"1500 Poplar Trail, Franklin City, PA",CE,,7:00 AM - 3:00 PM,999-915-8683,John Smith
Dental & Oral Surgery Center,"1500 Poplar Trail, Franklin City, PA",CE,,3:00 PM - 11:00 PM,999-646-8679,Jessica Miller
Dental & Oral Surgery Center,"1500 Poplar Trail, Franklin City, PA",CE,,11:00 PM - 7:00 AM,999-116-8339,Min-jun Lee
Dental & Oral Surgery Center,"1500 Poplar Trail, Franklin City, PA",EUS,,7:00 AM - 3:00 PM,999-319-3205,Robert Johnson
Dental & Oral Surgery Center,"1500 Poplar Trail, Franklin City, PA",EUS,,3:00 PM - 11:00 PM,999-576-2069,Luca Rossi
Dental & Oral Surgery Center,"1500 Poplar Trail, Franklin City, PA",EUS,,11:00 PM - 7:00 AM,999-472-2060,Dao Wei
Dental & Oral Surgery Center,"1500 Poplar Trail, Franklin City, PA",Networking,,7:00 AM - 3:00 PM,999-379-4420,Olivia Bernard
Dental & Oral Surgery Center,"1500 Poplar Trail, Franklin City, PA",Networking,,3:00 PM - 11:00 PM,999-596-1301,Ibrahim Saleh
Dental & Oral Surgery Center,"1500 Poplar Trail, Franklin City, PA",Networking,,11:00 PM - 7:00 AM,999-280-1606,Lucas Novak
Liberty Health North Branch,"1600 Northern Passage, Franklin City, PA",Facilities,,,999-555-0101,
Liberty Health North Branch,"1600 Northern Passage, Franklin City, PA",CE,,7:00 AM - 3:00 PM,999-198-1699,Chen Yu
Liberty Health North Branch,"1600 Northern Passage, Franklin City, PA",CE,,3:00 PM - 11:00 PM,999-215-1190,Hans Schmidt
Liberty Health North Branch,"1600 Northern Passage, Franklin City, PA",CE,,11:00 PM - 7:00 AM,999-352-1980,Amina Ndiaye
Liberty Health North Branch,"1600 Northern Passage, Franklin City, PA",EUS,,7:00 AM - 3:00 PM,999-260-4327,Sun Li
Liberty Health North Branch,"1600 Northern Passage, Franklin City, PA",EUS,,3:00 PM - 11:00 PM,999-422-9319,Nadia Farah
Liberty Health North Branch,"1600 Northern Passage, Franklin City, PA",EUS,,11:00 PM - 7:00 AM,999-117-2816,Amira ElSayed
Liberty Health North Branch,"1600 Northern Passage, Franklin City, PA",Networking,,7:00 AM - 3:00 PM,999-834-7709,Omar Kader
Liberty Health North Branch,"1600 Northern Passage, Franklin City, PA",Networking,,3:00 PM - 11:00 PM,999-669-6442,Ananya Roy
Liberty Health North Branch,"1600 Northern Passage, Franklin City, PA",Networking,,11:00 PM - 7:00 AM,999-971-3733,Mei Chen
Liberty Health South Branch,"1700 Southern Gate, Franklin City, PA",Facilities,,,999-555-0101,
Liberty Health South Branch,"1700 Southern Gate, Franklin City, PA",CE,,7:00 AM - 3:00 PM,999-891-8455,Haruto Takahashi
Liberty Health South Branch,"1700 Southern Gate, Franklin City, PA",CE,,3:00 PM - 11:00 PM,999-953-2686,Isabella Mancini
Liberty Health South Branch,"1700 Southern Gate, Franklin City, PA",CE,,11:00 PM - 7:00 AM,999-738-1154,Michael Williams
Liberty Health South Branch,"1700 Southern Gate, Franklin City, PA",EUS,,7:00 AM - 3:00 PM,999-589-2409,Diego Martinez
Liberty Health South Branch,"1700 Southern Gate, Franklin City, PA",EUS,,3:00 PM - 11:00 PM,999-884-9096,Chen Bao
Liberty Health South Branch,"1700 Southern Gate, Franklin City, PA",EUS,,11:00 PM - 7:00 AM,999-492-8343,Betty Harris
Liberty Health South Branch,"1700 Southern Gate, Franklin City, PA",Networking,,7:00 AM - 3:00 PM,999-138-6596,Elena Mancini
Liberty Health South Branch,"1700 Southern Gate, Franklin City, PA",Networking,,3:00 PM - 11:00 PM,999-781-3806,Anele Dlamini
Liberty Health South Branch,"1700 Southern Gate, Franklin City, PA",Networking,,11:00 PM - 7:00 AM,999-637-6986,Yousef Amir
Liberty Health East Branch,"1800 Eastern Avenue, Franklin City, PA",Facilities,,,999-555-0101,
Liberty Health East Branch,"1800 Eastern Avenue, Franklin City, PA",CE,,7:00 AM - 3:00 PM,999-917-9716,Steven Wilson
Liberty Health East Branch,"1800 Eastern Avenue, Franklin City, PA",CE,,3:00 PM - 11:00 PM,999-927-6625,Fatima Al-Khalifa
Liberty Health East Branch,"1800 Eastern Avenue, Franklin City, PA",CE,,11:00 PM - 7:00 AM,999-924-5780,Mohamed AlHashmi
Liberty Health East Branch,"1800 Eastern Avenue, Franklin City, PA",EUS,,7:00 AM - 3:00 PM,999-119-3368,Li Wei
Liberty Health East Branch,"1800 Eastern Avenue, Franklin City, PA",EUS,,3:00 PM - 11:00 PM,999-875-7655,Nia Murray
Liberty Health East Branch,"1800 Eastern Avenue, Franklin City, PA",EUS,,11:00 PM - 7:00 AM,999-499-7002,Chris Davis
Liberty Health East Branch,"1800 Eastern Avenue, Franklin City, PA",Networking,,7:00 AM - 3:00 PM,999-570-6919,Ali Nassar
Liberty Health East Branch,"1800 Eastern Avenue, Franklin City, PA",Networking,,3:00 PM - 11:00 PM,999-826-1853,Luis Guerra
Liberty Health East Branch,"1800 Eastern Avenue, Franklin City, PA",Networking,,11:00 PM - 7:00 AM,999-150-4769,Hugo Santos
Liberty Health West Branch,"1900 Western Way, Franklin City, PA",Facilities,,,999-555-0101,
Liberty Health West Branch,"1900 Western Way, Franklin City, PA",CE,,7:00 AM - 3:00 PM,999-674-2148,Isla Robertson
Liberty Health West Branch,"1900 Western Way, Franklin City, PA",CE,,3:00 PM - 11:00 PM,999-249-7457,Sarah Parker
Liberty Health West Branch,"1900 Western Way, Franklin City, PA",CE,,11:00 PM - 7:00 AM,999-669-8509,Amelie Dubois
Liberty Health West Branch,"1900 Western Way, Franklin City, PA",EUS,,7:00 AM - 3:00 PM,999-404-5777,Kato Takahashi
Liberty Health West Branch,"1900 Western Way, Franklin City, PA",EUS,,3:00 PM - 11:00 PM,999-937-4854,John Smith
Liberty Health West Branch,"1900 Western Way, Franklin City, PA",EUS,,11:00 PM - 7:00 AM,999-153-3491,Jessica Miller
Liberty Health West Branch,"1900 Western Way, Franklin City, PA",Networking,,7:00 AM - 3:00 PM,999-712-4124,Min-jun Lee
Liberty Health West Branch,"1900 Western Way, Franklin City, PA",Networking,,3:00 PM - 11:00 PM,999-671-4051,Robert Johnson
Liberty Health West Branch,"1900 Western Way, Franklin City, PA",Networking,,11:00 PM - 7:00 AM,999-719-1004,Luca Rossi
Liberty Health Downtown Clinic,"2000 Central Plaza, Franklin City, PA",Facilities,,,999-555-0101,
Liberty Health Downtown Clinic,"2000 Central Plaza, Franklin City, PA",CE,,7:00 AM - 3:00 PM,999-202-6315,Dao Wei
Liberty Health Downtown Clinic,"2000 Central Plaza, Franklin City, PA",CE,,3:00 PM - 11:00 PM,999-873-1876,Olivia Bernard
Liberty Health Downtown Clinic,"2000 Central Plaza, Franklin City, PA",CE,,11:00 PM - 7:00 AM,999-983-5142,Ibrahim Saleh
Liberty Health Downtown Clinic,"2000 Central Plaza, Franklin City, PA",EUS,,7:00 AM - 3:00 PM,999-966-7966,Lucas Novak
Liberty Health Downtown Clinic,"2000 Central Plaza, Franklin City, PA",EUS,,3:00 PM - 11:00 PM,999-919-7799,Raj Patel
Liberty Health Downtown Clinic,"2000 Central Plaza, Franklin City, PA",EUS,,11:00 PM - 7:00 AM,999-368-5465,Suki Kim
Liberty Health Downtown Clinic,"2000 Central Plaza, Franklin City, PA",Networking,,7:00 AM - 3:00 PM,999-735-2693,Finn Muller
Liberty Health Downtown Clinic,"2000 Central Plaza, Franklin City, PA",Networking,,3:00 PM - 11:00 PM,999-758-5752,Emily Johnson
Liberty Health Downtown Clinic,"2000 Central Plaza, Franklin City, PA",Networking,,11:00 PM - 7:00 AM,999-219-1830,Samuel Dube
,,,Health Informatics,7:00 AM - 3:00 PM,999-253-2679,Sanjay Gupta
,,,Health Informatics,3:00 PM - 11:00 PM,999-534-8253,Nasir Al-Masri
,,,Health Informatics,11:00 PM - 7:00 AM,999-796-6188,Rachel Taylor
,,,Cybersecurity,7:00 AM - 3:00 PM,999-146-3141,Kevin Moore
,,,Cybersecurity,3:00 PM - 11:00 PM,999-849-7617,Yara Abboud
,,,Cybersecurity,11:00 PM - 7:00 AM,999-531-7484,Nikolai Petrov
,,,Network Administration,7:00 AM - 3:00 PM,999-650-8421,Isabella Schmidt
,,,Network Administration,3:00 PM - 11:00 PM,999-833-5452,Kamal Saleh
,,,Network Administration,11:00 PM - 7:00 AM,999-122-6881,Jae Kim
,,,Software Development,7:00 AM - 3:00 PM,999-621-3849,Tarek Zahed
,,,Software Development,3:00 PM - 11:00 PM,999-279-8390,Carlos Hernández
,,,Software Development,11:00 PM - 7:00 AM,999-861-3489,An Binh
,,,Data Analysis,7:00 AM - 3:00 PM,999-707-5611,Maria Garcia
,,,Data Analysis,3:00 PM - 11:00 PM,999-115-3839,Yumi Tanaka
,,,Data Analysis,11:00 PM - 7:00 AM,999-435-6878,Liam O'Brien
,,,System Integration,7:00 AM - 3:00 PM,999-357-7303,Laura Brown
,,,System Integration,3:00 PM - 11:00 PM,999-574-1851,Elsa Jorgensen
,,,System Integration,11:00 PM - 7:00 AM,999-763-7833,Anna Petrova
,,,User Experience Design,7:00 AM - 3:00 PM,999-774-3427,James Wilson
,,,User Experience Design,3:00 PM - 11:00 PM,999-644-5000,Giulia Rossi
,,,User Experience Design,11:00 PM - 7:00 AM,999-790-6732,Xiaoyu Mao
,,,IT Project Management,7:00 AM - 3:00 PM,999-367-9002,Jose Torres
,,,IT Project Management,3:00 PM - 11:00 PM,999-676-6536,Mark Lee
,,,IT Project Management,11:00 PM - 7:00 AM,999-267-4913,Tendai Moyo
,,,Telecommunications,7:00 AM - 3:00 PM,999-142-8723,Layla Farah
,,,Telecommunications,3:00 PM - 11:00 PM,999-384-5107,Sanjay Gupta
,,,Telecommunications,11:00 PM - 7:00 AM,999-706-4373,Nasir Al-Masri
,,,Cloud Services Management,7:00 AM - 3:00 PM,999-997-9945,Rachel Taylor
,,,Cloud Services Management,3:00 PM - 11:00 PM,999-134-9967,Kevin Moore
,,,Cloud Services Management,11:00 PM - 7:00 AM,999-704-1417,Yara Abboud
,,,IT Training and Development,7:00 AM - 3:00 PM,999-214-9808,Nikolai Petrov
,,,IT Training and Development,3:00 PM - 11:00 PM,999-295-1825,Isabella Schmidt
,,,IT Training and Development,11:00 PM - 7:00 AM,999-600-6745,Kamal Saleh
,,,Hardware Maintenance,7:00 AM - 3:00 PM,999-592-1412,Jae Kim
,,,Hardware Maintenance,3:00 PM - 11:00 PM,999-475-8587,Tarek Zahed
,,,Hardware Maintenance,11:00 PM - 7:00 AM,999-828-8164,Carlos Hernández
